nombre;tipo;detalle_tipo_rotacion;tema;fecha_edicion;fecha_inicio;fecha_fin;anio;mes;dia_inicio;dia_fin;fecha_texto;sitioWeb;categoria;frecuencia;agrupacion;provincia;entidadOrganizadora;sedeRaw;localidad;sedeOriginalLLM;sedeRaw_corregida;sedeMatchScore;sedeRequiereRevision;entidadOriginalLLM;matchScore;requiereRevision
Dos noches a pura música en el Cristoforo Colombo;Evento Cultural;Local;Cultura;2025-10-01;2025-10-03;2025-10-04;2025;octubre;3;4;viernes 3 de octubre y sábado 4 de octubre;https://www.godoycruz.gob.ar/dos-noches-pura-musica-cristoforo-colombo/;Académico;Anual;FUERA DEL ALCANCE DEL OETR;Mendoza;ERROR;el Cristoforo Colombo;GODOY CRUZ;ERROR;ERROR;0.0;Sí;ERROR;0.0;Sí
Producción de Destilados y Afines;Workshop;Local;Gastronomía;2025-09-19;2025-09-19;2025-09-26;2025;septiembre;19;26;hoy (19 de septiembre de 2025) y viernes 26 de septiembre de 2025;https://www.godoycruz.gob.ar/municipio-apuesta-al-desarrollo-economico-nuevo-convenio-la-camara-argentina-destiladores/;Gubernamental;Anual;FERIAS Y EXPOSICIONES;Mendoza;ERROR;Espacio Arizu;GODOY CRUZ;ERROR;ERROR;0.0;Sí;ERROR;0.0;Sí
Evaluación de la Tercera Marcha Federal Universitaria en la UNCUYO;Otro tipo de evento;Nacional;Educación;2025-09-18;2025-09-17;2025-09-17;2025;septiembre;17;17;17 de septiembre de 2025;https://www.uncuyo.edu.ar/prensa/evaluacion-de-la-tercera-marcha-federal-universitaria-en-la-uncuyo;Académico;Anual;FUERA DEL ALCANCE DEL OETR;Mendoza;ERROR;Plaza Independencia;MENDOZA;ERROR;ERROR;0.0;Sí;ERROR;0.0;Sí
Tercera Marcha Federal Universitaria;Otro tipo de evento;Nacional - Regional (Cuyo);Educación;2025-09-18;2025-09-18;2025-09-18;2025;septiembre;18;18;18 de septiembre de 2025;https://www.unidiversidad.com.ar/mas-de-20-mil-personas-marcharon-por-la-universidad-publica-en-mendoza;Académico;Anual;FUERA DEL ALCANCE DEL OETR;Mendoza;ERROR;Plaza Independencia, Mendoza;Desconocido;ERROR;ERROR;0.0;Sí;ERROR;0.0;Sí
Marcha Federal Universitaria;Otro tipo de evento;Local;Educación;2025-09-17;2025-09-17;2025-09-17;2025;septiembre;17;17;17 de septiembre de 2025;https://www.elsol.com.ar/mendoza/desde-la-uncuyo-a-la-plaza-independencia-comenzo-la-marcha-federal-universitaria/;Asociativo;Anual;FUERA DEL ALCANCE DEL OETR;Mendoza;ERROR;Universidad Nacional de Cuyo, Mendoza;MENDOZA;ERROR;ERROR;0.0;Sí;ERROR;0.0;Sí
La UNCUYO vuelve a marchar en defensa de la universidad pública;Otro tipo de evento;Provincial;Educación;2025-09-15;2025-09-17;2025-09-17;2025;septiembre;17;17;miércoles 17 de septiembre;https://educacion.uncuyo.edu.ar/la-uncuyo-vuelve-a-marchar-en-defensa-de-la-universidad-publica3466;Asociativo;Anual;FUERA DEL ALCANCE DEL OETR;Mendoza;ERROR;Campus Universitario, Mendoza (con salida hacia Plaza Independencia);MENDOZA;ERROR;ERROR;0.0;Sí;ERROR;0.0;Sí
Marcha Federal Universitaria;Otro tipo de evento;Nacional;Educación;2025-09-17;2025-09-17;2025-09-17;2025;septiembre;17;17;miércoles 17 de septiembre de 2025;https://www.unidiversidad.com.ar/universidades-nacionales-en-riesgo-las-razones-que-impulsan-la-marcha-federal-universitaria;Asociativo;Anual;FUERA DEL ALCANCE DEL OETR;Mendoza;ERROR;Rotonda de ingreso al campus de la UNCUYO, Mendoza;MENDOZA;ERROR;ERROR;0.0;Sí;ERROR;0.0;Sí
Marcha universitaria en Mendoza;Otro tipo de evento;Provincial;Educación;2025-09-17;2025-09-17;2025-09-17;2025;septiembre;17;17;miércoles 17 de septiembre de 2025;https://www.elsol.com.ar/mendoza/marcha-universitaria-en-mendoza-faltazo-de-dirigentes-radicales-y-una-alianza-con-lla-que-tiene-asteriscos/;Asociativo;Anual;FUERA DEL ALCANCE DEL OETR;Mendoza;ERROR;Plaza Independencia;Desconocido;ERROR;ERROR;0.0;Sí;ERROR;0.0;Sí
2º Congreso Internacional de Investigación, Ciencia y Universidad (CIICU);Congreso;Local;Educación;2025-10-01;2025-12-03;2025-12-05;2025;diciembre;3;5;del 3 al 5 de diciembre;https://www.umaza.edu.ar/convocatoria-CIICU-2025;Académico;Anual;CONGRESOS Y CONVENCIONES;Mendoza;ERROR;Universidad Juan Agustín Maza;LAS CAÑAS;ERROR;ERROR;0.0;Sí;ERROR;0.0;Sí
SEMANA DE LA CULTURA CHINA EN MENDOZA;Evento Cultural;Nacional - Regional (Cuyo);Cultura;2025-10-06;2025-10-13;2025-10-17;2025;octubre;13;17;del 13 al 17 de octubre de 2025;https://www.ucongreso.edu.ar/noticias/p/2/;Académico;Anual;FUERA DEL ALCANCE DEL OETR;Mendoza;ERROR;Universidad de Congreso, Mendoza;MENDOZA;ERROR;ERROR;0.0;Sí;ERROR;0.0;Sí
