nombre;tipo;detalle_tipo_rotacion;tema;fecha_edicion;fecha_inicio;fecha_fin;anio;mes;dia_inicio;dia_fin;fecha_texto;sitioWeb;categoria;frecuencia;agrupacion;provincia;entidadOrganizadora;sedeRaw;localidad;sedeOriginalLLM;sedeRaw_corregida;sedeMatchScore;sedeRequiereRevision;entidadOriginalLLM;matchScore;requiereRevision
Participación del Mgtr. José Álvaro Duarte como docente invitado en el marco de la Licenciatura en Criminalística;Conferencia;Local;Seguridad;2025-05-30;2025-05-23;2025-05-23;2025;mayo;23;23;23 de mayo;https://www.uda.edu.ar/index.php/noticias-psi/1710-participacion-del-dr-jose-alvaro-duarte-como-docente-invitado-en-el-marco-de-la-lic-en-criminalistica;Académico;Anual;CONGRESOS Y CONVENCIONES;Mendoza;Universidad del Aconcagua;Facultad de Psicología de la Universidad del Aconcagua;Desconocido;La Universidad del Aconcagua;Universidad del Aconcagua;95.0;No;La Universidad del Aconcagua;95.0;No
La Subsecretaría de Cultura acompaña los 80 años del Hospital Central;Evento Cultural;Provincial;Cultura;2025-05-28;2025-05-25;2025-05-25;2025;Mayo;25;25;25 de Mayo;https://www.mendoza.gov.ar/prensa/la-subsecretaria-de-cultura-acompana-los-80-anos-del-hospital-central/;Gubernamental;Anual;FUERA DEL ALCANCE DEL OETR;Mendoza;NO_MATCH;Hospital Central;Desconocido;Teatro Independencia;Teatro Independencia;100.0;No;Subsecretaría de Cultura;86.0;Sí
EL MUSEO MILITAR ABRE SUS PUERTAS PARA VIVIR EL “DÍA DEL EJÉRCITO ARGENTINO”;Jornada;Local;Ciencias históricas y sociales;2025-05-23;2025-05-28;2025-05-29;2025;mayo;28;29;miércoles 28 y jueves 29 de mayo;https://www.sanrafael.gov.ar/el-museo-militar-abre-sus-puertas-para-vivir-el-dia-del-ejercito-argentino/;Gubernamental;Anual;CONGRESOS Y CONVENCIONES;Mendoza;NO_MATCH;Museo Histórico Militar, ubicado en Avenida Mitre al 5200 de Cuadro Nacional, San Rafael;MENDOZA;Museo Histórico Militar;NO_MATCH;86.0;Sí;Museo Histórico Militar;54.0;Sí
XLII CONGRESO NACIONAL DE CARDIOLOGÍA;Congreso;Nacional;Medicina;;2025-05-28;2025-05-28;2025;mayo;28;28;28 de mayo 2025;https://um.edu.ar/noticias/xlii-congreso-nacional-de-cardiologia/;Académico;Anual;CONGRESOS Y CONVENCIONES;Mendoza;Universidad de Mendoza;Facultad de Ciencias Médicas de la UM, Aula Magna;MENDOZA;Mendoza;Universidad de Mendoza (UM);90.0;No;Universidad de Mendoza;100.0;No
La Subsecretaría de Cultura acompaña los 80 años del Hospital Central 28 DE MAYO, 2025;Evento Cultural;Provincial;Cultura;2025-05-28;2025-05-25;2025-05-25;2025;Mayo;25;25;25 de Mayo;https://www.mendoza.gov.ar/prensa/la-subsecretaria-de-cultura-acompana-los-80-anos-del-hospital-central/;Gubernamental;Anual;FUERA DEL ALCANCE DEL OETR;Mendoza;NO_MATCH;explanada del hospital;Desconocido;Teatro Independencia;Teatro Independencia;100.0;No;La Subsecretaría de Cultura;86.0;Sí
Jornada de Networking: El rol de las Universidades en el desarrollo regional de Mendoza;Jornada;Provincial;Geografia;2025-04-30;2025-04-30;2025-04-30;2025;abril;30;30;30 de abril de 2025;https://www.uncuyo.edu.ar/prensa/especialistas-locales-e-internacionales-resaltaron-el-impacto-de-la-academia-en-la-gestion-territorial;Académico;Anual;CONGRESOS Y CONVENCIONES;Mendoza;Universidad Nacional de Cuyo (UNCuyo);Universidad Nacional de Cuyo (UNCUYO);Desconocido;La Universidad Nacional de Cuyo (UNCUYO);Universidad Nacional de Cuyo (UNCUYO);96.0;No;Universidad Nacional de Cuyo (UNCUYO);100.0;No
El Iscamen y Ambiente presentaron el “Dossier técnico para el manejo de la chinche del arce”;Conferencia;Provincial;Ecología y medio ambiente;2025-05-28;2025-05-28;2025-05-28;2025;Mayo;28;28;28 DE MAYO, 2025;https://www.mendoza.gov.ar/prensa/iscamen-y-ambiente-realizaron-una-jornada-de-presentacion-del-dossier-tecnico-para-el-manejo-de-la-chinche-del-arce/;Gubernamental;Anual;CONGRESOS Y CONVENCIONES;Mendoza;NO_MATCH;Sede central del Iscamen;Desconocido;Av. Peltier 351 - Ciudad, Mendoza;NO_MATCH;86.0;Sí;Iscamen;77.0;Sí
Geografía y formación ciudadana. Temas, problemas y debates sobre el futuro de la organización territorial de Mendoza;Jornada;Provincial;Geografia;;2025-03-21;2025-10-09;2025;marzo;21;9;21 de marzo al 9 de octubre de 2025;https://ffyl.uncuyo.edu.ar/cursos/item/geografia-y-formacion-ciudadana-temas-problemas-y-debates-sobre-el-futuro-de-la-organizacion-territorial-de-mendoza;Académico;Anual;CONGRESOS Y CONVENCIONES;Mendoza;NO_MATCH;Aula C-12 de la FFyL de la UNCUYO;Desconocido;Aula C-12 de la FFyL de la UNCUYO;NO_MATCH;86.0;Sí;Instituto de Geografía y Departamento de Geografía;86.0;Sí
Festival Internacional de Cine de la Trashumancia Pasturas 2025;Evento Cultural;Nacional;Cultura;;2025-05-14;2025-05-17;2025;mayo;14;17;Del 14 al 17 de mayo;https://www.malargue.gov.ar/tag/latinoamericanos-del-mendoza-film-lab/;Gubernamental;Anual;FUERA DEL ALCANCE DEL OETR;Mendoza;Municipalidad de Malargüe;Centro de Convenciones y Exposiciones Thesaurus;MALARGUE;El Centro de Convenciones y Exposiciones Thesaurus y la Sala de Cine Maitén.;Centro de Convenciones y Exposiciones Thesaurus;90.0;No;Municipalidad de Malargüe;100.0;No
Jornada de Conjuntos Inmobiliarios y Propiedad Horizontal;Jornada;Nacional - Regional (Cuyo);Derecho;2025-06-10;2025-06-13;2025-06-13;2025;junio;13;13;"10 de junio de 2025; viernes 13 de junio";https://derecho.uncuyo.edu.ar/primera-jornada-nacional-de-propiedad-horizontal-y-conjuntos-inmobiliarios;Académico;Anual;CONGRESOS Y CONVENCIONES;Mendoza;NO_MATCH;aula E de la Facultad de Derecho, UNCUYO;MENDOZA;Aula E de la Facultad de Derecho;NO_MATCH;86.0;Sí;La Dirección del Seminario en Administración de Consorcios FD UNCUYO;86.0;Sí
XLII CONGRESO NACIONAL DE CARDIOLOGÍA;Congreso;Nacional;Medicina;;2025-05-28;2025-05-31;2025;Mayo;28;31;28 de mayo al 31 de mayo de 2025;https://um.edu.ar/noticias/xlii-congreso-nacional-de-cardiologia/;Académico;Anual;CONGRESOS Y CONVENCIONES;Mendoza;Universidad de Mendoza;Facultad de Ciencias Médicas de la UM, Aula Magna de la universidad;Desconocido;Universidad de Mendoza;Univesidad de Mendoza;98.0;No;Universidad de Mendoza;100.0;No
