nombre;tipo;detalle_tipo_rotacion;tema;fecha_edicion;fecha_inicio;fecha_fin;anio;mes;dia_inicio;dia_fin;fecha_texto;sitioWeb;categoria;frecuencia;agrupacion;provincia;entidadOrganizadora;sedeRaw;localidad;sedeOriginalLLM;sedeRaw_corregida;sedeMatchScore;sedeRequiereRevision;entidadOriginalLLM;matchScore;requiereRevision
"Marcelo Morales: ""La educación social es válida y necesaria en nuestra sociedad""";Conferencia;Local;Educación;2025-05-28;2025-05-28;2025-05-28;2025;mayo;28;28;28 de mayo de 2025;https://educacion.uncuyo.edu.ar/marcelo-morales-la-educacion-social-es-valida-y-necesaria-en-nuestra-sociedad;Académico;Anual;CONGRESOS Y CONVENCIONES;Mendoza;Facultad de Educación;Sede Centro de la Facultad de Educación;Desconocido;Facultad de Educación.;Universidad Nacional de Cuyo (UNCUYO) - Facultad de Educación Elemental y Especial;90.0;No;Facultad de Educación;100.0;No
Conferencia sobre Mama Antula en la Biblioteca San Martín;Conferencia;Local;Religión;2025-05-27;2025-05-28;2025-05-28;2025;MAYO;28;28;"27 DE MAYO, 2025; miércoles 28";https://www.mendoza.gov.ar/prensa/se-realizara-una-conferencia-sobre-mama-antula-en-la-biblioteca-san-martin/;Académico;Anual;CONGRESOS Y CONVENCIONES;Mendoza;NO_MATCH;Biblioteca San Martín, ubicada en Remedios Escalada de San Martín 1843 de la Ciudad de Mendoza;MENDOZA;Biblioteca San Martín;NO_MATCH;86.0;Sí;Equipo Silencio Fértil;86.0;Sí
Proyecto de Ley de Financiamiento de la Educación Universitaria;Conferencia;Nacional - Regional (Cuyo);Educación;2025-05-28;2025-05-28;2025-05-28;2025;mayo;28;28;28 de mayo de 2025;https://www.uncuyo.edu.ar/prensa/esta-ley-plantea-una-metodologia-que-asegure-el-financiamiento-sin-generar-deficit;Gubernamental;Anual;CONGRESOS Y CONVENCIONES;Mendoza;Universidad Nacional de Cuyo (UNCuyo);Universidad Nacional de Cuyo;Desconocido;Centro Universitario;NO_MATCH;86.0;Sí;Universidad Nacional de Cuyo (UNCUYO);100.0;No
Jornadas de Derecho Civil;Jornada;Provincial;Derecho;2025-05-20;2025-06-03;2025-06-03;2025;junio;3;3;martes 3 de junio, de 15.30 a 18.30;https://colabogmza.com.ar/tag/aida-kemelmajer-de-carlucci/;Académico;Anual;CONGRESOS Y CONVENCIONES;Mendoza;NO_MATCH;sede del Colegio de Abogados y Procuradores de la Primera Circunscripción Judicial de Mendoza, salón de actos, ubicado en Pedro Molina 447 de Ciudad;Desconocido;Colegio de Abogados y Procuradores de la Primera Circunscripción Judicial de Mendoza, salón de actos de la institución ubicado en Pedro Molina 447 de Ciudad.;NO_MATCH;86.0;Sí;"Colegio de Abogados y Procuradores de la Primera Circunscripción Judicial de Mendoza Comisión de Derecho Civil Colegio de Abogados y Procuradores";86.0;Sí
;Otro tipo de evento;Provincial;Gobierno/Sindical;2025-05-21;;;;;;;;https://www.elsol.com.ar/mendoza/piden-investigar-la-compra-millonaria-de-alimentos-para-las-carceles-de-mendoza/;Gubernamental;Anual;FUERA DEL ALCANCE DEL OETR;Mendoza;NO_MATCH;Mendoza;MENDOZA;Ninguna;NO_MATCH;64.0;Sí;Diario El Sol Mendoza;86.0;Sí
“Fogones Culturales” y “Noche de las ideas”;Evento Cultural;Provincial;Cultura;2025-05-06;2025-05-11;2025-05-25;2025;mayo;11;25;del 11 al 25 de mayo;https://www.mendoza.gov.ar/prensa/fogones-culturales-y-noche-de-las-ideas-espacios-de-encuentro-para-pensar-en-comunidad/;Gubernamental;Anual;FUERA DEL ALCANCE DEL OETR;Mendoza;Gobierno de Mendoza;Espacio Cultural Julio Le Parc;GUAYMALLEN;"Espacio Cultural Julio Le Parc";Espacio Cultural Julio Le Parc;90.0;No;Gobierno de Mendoza;100.0;No
Conferencia sobre Mama Antula;Conferencia;Local;Religión;2025-05-27;2025-05-28;2025-05-28;2025;mayo;28;28;Mañana miércoles 28, a las 16;https://www.mendoza.gov.ar/prensa/se-realizara-una-conferencia-sobre-mama-antula-en-la-biblioteca-san-martin/;Académico;Anual;CONGRESOS Y CONVENCIONES;Mendoza;NO_MATCH;Biblioteca San Martín, Remedios Escalada de San Martín 1843, Ciudad de Mendoza;Desconocido;Biblioteca San Martín.;NO_MATCH;86.0;Sí;Equipo Silencio Fértil;86.0;Sí
De tus luces y sombras;Evento Cultural;Local;Arte y diseño;2025-05-30;2025-06-06;2025-06-25;2025;junio;6;25;6 de junio hasta el 25 de junio;https://www.guaymallen.gob.ar/de-tus-luces-y-sombras-hector-dieguez-expone-sus-obras-en-salas-de-arte-libertad/;Gubernamental;Anual;CONGRESOS Y CONVENCIONES;Mendoza;RED ARGENTINA DE MUNICIPIOS FRENTE AL CAMBIO CLIMÁTICO;Salas de Arte Libertad;Desconocido;Salas de Arte Libertad;NO_MATCH;86.0;Sí;Municipio;90.0;No
Participación del Mgtr. José Álvaro Duarte como docente invitado en el marco de la Licenciatura en Criminalística;Jornada;Local;Seguridad;2025-05-30;2025-05-23;2025-05-23;2025;mayo;23;23;23 de mayo;https://www.uda.edu.ar/index.php/noticias-psi/1710-participacion-del-dr-jose-alvaro-duarte-como-docente-invitado-en-el-marco-de-la-lic-en-criminalistica;Académico;Anual;CONGRESOS Y CONVENCIONES;Mendoza;Universidad del Aconcagua;Facultad de Psicología de la Universidad del Aconcagua;Desconocido;Universidad del Aconcagua;Universidad del Aconcagua;100.0;No;Universidad del Aconcagua;100.0;No
TODO LO QUE PUEDE UN CUERPO;Exposición;Local;Arte y diseño;2025-10-02;2025-05-16;2025-05-16;2025;mayo;16;16;del 16 de mayo en Hualta Winery Hotel;https://mendoza.puntoapunto.com.ar/barbara-negroni-fotografa-rosarina-inaugura-todo-lo-que-puede-un-cuerpo-en-el-hualta-winery-hotel/;Cultural;Anual;FERIAS Y EXPOSICIONES;Mendoza;NO_MATCH;Hualta Winery Hotel, Mendoza – Argentina;Desconocido;Hualta Winery Hotel;NO_MATCH;86.0;Sí;Hualta Winery Hotel;86.0;Sí
El impacto ambiental de la inteligencia artificial;Congreso;NS/NC;Energía;2025-05-20;;;2025;Mayo;;;;https://www.unidiversidad.com.ar/que-hacen-las-empresas-para-mitigar-el-consumo-de-agua-y-energia-que-gasta-la-ia;Asociativo;Anual;CONGRESOS Y CONVENCIONES;Mendoza;Universidad Nacional de Cuyo (UNCuyo);;MENDOZA;El texto no menciona específicamente una sede u lugar principal como un teatro, centro cultural, estadio o sala. Sin embargo, se menciona a la Universidad Nacional de Cuyo (UNCUYO) como la institución académica involucrada en las declaraciones de los especialistas e investigadores.;Universidad Nacional de Cuyo (UNCUYO);90.0;No;UNCUYO;90.0;No
Centro Cultural Móvil;Conferencia;Nacional - Regional (Cuyo);Cultura;2025-05-15;2025-05-24;2025-05-31;2025;mayo;24;31;Del 24 al 31 de mayo;https://www.godoycruz.gob.ar/centro-cultural-coreano-llega-mendoza-sumergirse-la-cultura-asiatica/;Asociativo;Anual;CONGRESOS Y CONVENCIONES;Mendoza;NO_MATCH;El Centro Patrimonial y Artísico Cristoforo Colombo (Tomba 246) y la B+M (Tomba 56);MENDOZA;"Centro Patrimonial y Artístico Cristoforo Colombo (Tomba 246), 
Biblioteca Manuel Belgrano (Tomba 56) y B+M (Tomba 56)";Centro Patrimonial y Artístico Cristoforo Colombo;90.0;No;Centro Cultural Coreano.;86.0;Sí
Jornadas de Derecho Civil;Congreso;Local;Derecho;2025-05-18;2025-06-03;2025-06-03;2025;junio;3;3;3 de junio;https://colabogmza.com.ar/aida-kemelmajer-de-carlucci-expondra-sobre-prevencion-del-dano/;Académico;Anual;CONGRESOS Y CONVENCIONES;Mendoza;Colegio de abogados y procuradores de Salta;Pedro Molina 447, Ciudad;Desconocido;Colegio de Abogados y Procuradores de la Primera Circunscripción Judicial de Mendoza.;NO_MATCH;86.0;Sí;Colegio de Abogados y Procuradores;95.0;No
Originales: Exposición colectiva;Exposición;Nacional - Regional (Cuyo);Arte y diseño;2024-05-16;2025-05-16;;2025;mayo;16;;el próximo viernes 16 de mayo a las 20 horas;https://um.edu.ar/noticias/originales-exposicion-colectiva-en-el-museo-municipal-de-arte-moderno-de-mendoza/;Cultural;Anual;FERIAS Y EXPOSICIONES;Mendoza;Universidad de Mendoza;Museo Municipal de Arte Moderno de Mendoza;MENDOZA;Museo Municipal de Arte Moderno de Mendoza - Universidad de Mendoza;NO_MATCH;88.0;Sí;Universidad de Mendoza;100.0;No
Asamblea Anual de Socios de Bodegas de Argentina;Asamblea;Nacional - Regional (Cuyo);Turismo y hotelería;2025-10-02;2025-04-30;2025-04-30;2025;abril;30;30;del 30 de abril;https://mendoza.puntoapunto.com.ar/walter-bressia-fue-reelecto-como-presidente-de-bodegas-de-argentina/;Asociativo;Anual;CONGRESOS Y CONVENCIONES;Mendoza;NO_MATCH;Bodega Los Toneles, ubicada en Guaymallén;Desconocido;Bodega Los Toneles;Bodega Los Toneles;100.0;No;Bodegas de Argentina;86.0;Sí
Día de la Ingeniería: el CoRSEOC expone sobre actualizaciones del Reglamento INPRES-CIRSOC 103;Exposición;Nacional - Regional (Cuyo);Arquitectura;2024-05-29;2025-06-06;2025-06-06;2025;junio;6;6;06 de junio;https://www.copigmza.org.ar/dia-de-la-ingenieria-el-corseoc-expone-sobre-actualizaciones-del-reglamento-inpres-cirsoc-103/;Asociativo;Anual;CONGRESOS Y CONVENCIONES;Mendoza;NO_MATCH;Auditorio del Consejo Profesional de Ingenieros y Geólogos de Mendoza (CoPIG);Desconocido;Auditorio del Consejo Profesional de Ingenieros y Geólogos de Mendoza (CoPIG);Consejo Profesional de Ingenieros y Geólogos de Mendoza;95.0;No;Consejo Profesional de Ingenieros y Geólogos de Mendoza (CoPIG);86.0;Sí
Se inauguró la muestra por el 167º Aniversario de Guaymallén en el Espacio Le Parc;Exposición;Nacional - Regional (Cuyo);Arte y diseño;2025-05-06;2025-05-06;2025-05-22;2025;mayo;6;22;del 6 al 22 de mayo de 2025;https://www.guaymallen.gob.ar/se-inauguro-la-muestra-por-el-167o-aniversario-de-guaymallen-en-el-espacio-le-parc/;Gubernamental;Anual;FERIAS Y EXPOSICIONES;Mendoza;RED ARGENTINA DE MUNICIPIOS FRENTE AL CAMBIO CLIMÁTICO;Mitre y Godoy de San José;Desconocido;Espacio Le Parc - Guaymallén;NO_MATCH;86.0;Sí;Municipio;90.0;No
Exposición;Exposición;Nacional;Arte y diseño;2025-04-30;2025-05-05;2025-05-22;2025;mayo;5;22;El lunes 5 de mayo, a las 20 h, y estará abierta al público hasta el 22 de mayo de 2025;https://www.guaymallen.gob.ar/destacados-artistas-visuales-se-unen-en-una-muestra-por-el-167o-aniversario-de-guaymallen/;Gubernamental;Anual;FERIAS Y EXPOSICIONES;Mendoza;RED ARGENTINA DE MUNICIPIOS FRENTE AL CAMBIO CLIMÁTICO;Espacio Cultural Julio Le Parc;MENDOZA;No se encuentra información sobre una seda o locación principal específica en el texto proporcionado.;NO_MATCH;86.0;Sí;MUNICIPIO;90.0;No
TODO LO QUE PUEDE UN CUERPO;Exposición;Nacional - Regional (Cuyo);Arte y diseño;2025-10-02;;;2025;;;;del 16 de mayo en Hualta Winery Hotel, Mendoza – Argentina;https://mendoza.puntoapunto.com.ar/barbara-negroni-fotografa-rosarina-inaugura-todo-lo-que-puede-un-cuerpo-en-el-hualta-winery-hotel/;Asociativo;Anual;FERIAS Y EXPOSICIONES;Mendoza;NO_MATCH;Hualta Winery Hotel, Mendoza – Argentina;Desconocido;Hualta Winery Hotel;NO_MATCH;86.0;Sí;Hualta Winery Hotel;86.0;Sí
Comicruz;Exposición;Nacional;Arte y diseño;2025-04-18;2025-05-18;2025-05-18;2025;mayo;18;18;del 18 de mayo;https://www.godoycruz.gob.ar/evento/comicruz1/;Asociativo;Anual;FERIAS Y EXPOSICIONES;Mendoza;NO_MATCH;Centro Patrimonial y Artístico Cristoforo Colombo (Tomba 246);GODOY CRUZ;Centro Patrimonial y Artístico Cristoforo Colombo;Centro Patrimonial y Artístico Cristoforo Colombo;100.0;No;Comicruz;56.0;Sí
El Día Mundial del Reciclaje;Otro tipo de evento;Único;Ecología y medio ambiente;2025-05-16;2025-05-17;2025-05-17;2025;mayo;17;17;El día mundial del reciclaje con actividades para promover la conciencia ambiental Este viernes, la plaza departamental fue el epicentro de una campaña que incluyó recolección de residuos electrónicos y la exposición de productos reciclados.;https://www.godoycruz.gob.ar/se-celebro-dia-mundial-del-reciclaje-actividades-promover-la-conciencia-ambiental/;Gubernamental;Anual;CONGRESOS Y CONVENCIONES;Mendoza;NO_MATCH;La plaza departamental;TUNUYAN;Plaza departamental;Plaza departamental Tunuyán;95.0;No;La Municipalidad;86.0;Sí
