nombre;tipo;detalle_tipo_rotacion;tema;fecha_edicion;fecha_inicio;fecha_fin;anio;mes;dia_inicio;dia_fin;fecha_texto;sitioWeb;categoria;frecuencia;agrupacion;provincia;entidadOrganizadora;sedeRaw;localidad;sedeOriginalLLM;sedeRaw_corregida;sedeMatchScore;sedeRequiereRevision;entidadOriginalLLM;matchScore;requiereRevision
Seminario de Bibliotecas: Nuevas prácticas con IA para la Investigación y la Docencia;Seminario;Local;Bibliotecología;2025-10-15;2025-10-20;2025-10-21;2025;octubre;20;21;20 y 21 de octubre;https://www.uda.edu.ar/index.php/archivo-novedades-uda;Académico;Anual;CONGRESOS Y CONVENCIONES;Mendoza;ERROR;Universidad Maza (UMAZA) – Mendoza, Argentina;MENDOZA;ERROR;ERROR;0.0;Sí;ERROR;0.0;Sí
18° Conferencia Anual de Redes de Gobiernos y Ciudades Inteligentes;Conferencia;Nacional;Gobierno/Sindical;2025-09-19;2025-09-17;2025-09-18;2025;septiembre;17;18;Durante dos jornadas;https://lujandecuyo.gob.ar/2025/09/19/lujan-de-cuyo-cerro-con-exito-la-18-conferencia-anual-de-redes-de-gobiernos-y-ciudades-inteligentes/;Gubernamental;Anual;CONGRESOS Y CONVENCIONES;Mendoza;ERROR;Gran Hotel Potrerillos;POTRERILLOS;ERROR;ERROR;0.0;Sí;ERROR;0.0;Sí
18ª Conferencia Anual de Redes de Gobierno y Ciudades Inteligentes;Conferencia;Nacional;Gobierno/Sindical;2025-09-18;;;;;;;18 Sep 2025;https://lujandecuyo.gob.ar/2025/09/18/allasino-inauguro-en-potrerillos-la-18a-conferencia-anual-de-redes-de-gobierno-y-ciudades-inteligentes/;Gubernamental;Anual;CONGRESOS Y CONVENCIONES;Mendoza;ERROR;Gran Hotel Potrerillos;POTRERILLOS;ERROR;ERROR;0.0;Sí;ERROR;0.0;Sí
Primer Congreso Nacional de Educación y Malvinas - Mendoza | 2025;Congreso;Nacional - Regional (Cuyo);Educación;2025-09-18;2025-10-17;2025-10-18;2025;octubre;17;18;los días 17 y 18 de octubre;https://www.uda.edu.ar/index.php/categoria-uda/1766-aspectos-legales-y-humanos-de-la-identificacion-de-los-caidos-en-malvinas;Académico;Anual;CONGRESOS Y CONVENCIONES;Mendoza;ERROR;Universidad de Mendoza;MENDOZA;ERROR;ERROR;0.0;Sí;ERROR;0.0;Sí
Seminario de Bibliotecas: Nuevas prácticas con IA para la Investigación y la Docencia;Seminario;Provincial;Bibliotecología;2025-10-15;2025-10-20;2025-10-21;2025;octubre;20;21;20 y 21 de octubre;https://www.uda.edu.ar/index.php/archivo-novedades-uda;Académico;Anual;CONGRESOS Y CONVENCIONES;Mendoza;ERROR;Universidad Maza (UMAZA) – Mendoza, Argentina;MENDOZA;ERROR;ERROR;0.0;Sí;ERROR;0.0;Sí
Primer Congreso Nacional de Educación y Malvinas - Mendoza;Congreso;Nacional - Regional (Cuyo);Educación;2025-09-18;2025-10-17;2025-10-18;2025;octubre;17;18;17 y 18 de octubre 2025;https://www.uda.edu.ar/index.php/categoria-uda/1766-aspectos-legales-y-humanos-de-la-identificacion-de-los-caidos-en-malvinas;Académico;Anual;CONGRESOS Y CONVENCIONES;Mendoza;ERROR;Universidad de Mendoza, Arístides Villanueva 796, Mendoza, CP 5500;MENDOZA;ERROR;ERROR;0.0;Sí;ERROR;0.0;Sí
Aspectos legales en el Derecho Argentino y en el Derecho Internacional sobre la identificación de los restos de los soldados argentinos, enterrados en las Islas Malvinas;Conferencia;Provincial;Derecho;2025-09-12;2025-09-18;2025-09-18;2025;septiembre;18;18;Jueves 18 de septiembre;https://www.uda.edu.ar/index.php/categoria-uda/1762-el-dr-manuel-pizarro-brindara-una-conferencia-en-la-universidad;Académico;Anual;CONGRESOS Y CONVENCIONES;Mendoza;ERROR;Salón Cincuentenario, Universidad del Aconcagua;MENDOZA;ERROR;ERROR;0.0;Sí;ERROR;0.0;Sí
Primera Jornada de Transición Energética en la UNCUYO;Jornada;Nacional - Regional (Cuyo);Energía;2025-09-09;2025-10-01;2025-10-01;2025;octubre;1;1;miércoles 1 de octubre de 2025;https://cpcemza.org.ar/A6129_primera-jornada-de-transicion-energetica-en-la-uncuyo;Asociativo;Anual;CONGRESOS Y CONVENCIONES;Mendoza;ERROR;Anfiteatro 5 de la Facultad de Ciencias Económicas de la UNCUYO;Desconocido;ERROR;ERROR;0.0;Sí;ERROR;0.0;Sí
Seminario de Bibliotecas: Nuevas prácticas con IA para la Investigación y la Docencia;Seminario;Provincial;Bibliotecología;2025-10-15;2025-10-20;2025-10-21;2025;octubre;20;21;20 y 21 de octubre;https://www.uda.edu.ar/index.php/archivo-novedades-uda;Académico;Anual;CONGRESOS Y CONVENCIONES;Mendoza;ERROR;Universidad Maza (UMAZA) – Mendoza, Argentina;Desconocido;ERROR;ERROR;0.0;Sí;ERROR;0.0;Sí
18° Conferencia Anual de Redes de Gobiernos y Ciudades Inteligentes;Conferencia;Nacional - Regional (Cuyo);Tecnología;2025-09-19;;;2025;Sep;;;19 Sep 2025;https://lujandecuyo.gob.ar/2025/09/19/lujan-de-cuyo-cerro-con-exito-la-18-conferencia-anual-de-redes-de-gobiernos-y-ciudades-inteligentes/;Gubernamental;Anual;CONGRESOS Y CONVENCIONES;Mendoza;ERROR;Durante dos jornadas en Potrerillos;POTRERILLOS;ERROR;ERROR;0.0;Sí;ERROR;0.0;Sí
