nombre;tipo;detalle_tipo_rotacion;tema;fecha_edicion;fecha_inicio;fecha_fin;anio;mes;dia_inicio;dia_fin;fecha_texto;sitioWeb;categoria;frecuencia;agrupacion;provincia;entidadOrganizadora;sedeRaw;localidad;sedeOriginalLLM;sedeRaw_corregida;sedeMatchScore;sedeRequiereRevision;entidadOriginalLLM;matchScore;requiereRevision
Las Primeras Jornadas “Proyección FCE”;Jornada;Nacional;Management y negocios;2025-09-01;2025-09-24;2025-09-25;2025;septiembre;24;25;los días 24 y 25 de septiembre;https://um.edu.ar/sedes/mendoza/;Académico;Anual;CONGRESOS Y CONVENCIONES;Mendoza;Universidad de Mendoza;Sede Central de la Universidad de Mendoza;Desconocido;Mendoza;Hotel Intercontinental Mendoza Guaymallen;90.0;No;Universidad de Mendoza;100.0;No
Día de la Secretaria 2025 en Argentina;Otro tipo de evento;Nacional;Otro;2025-09-04;2025-09-04;2025-09-04;2025;septiembre;4;4;4 de septiembre, 2025;https://um.edu.ar/noticias/;Asociativo;Anual;FUERA DEL ALCANCE DEL OETR;Mendoza;Universidad de Mendoza;Mendoza | Rio Cuarto | San Rafael;MENDOZA;Mendoza;Hotel Intercontinental Mendoza Guaymallen;90.0;No;Universidad de Mendoza;100.0;No
Día de la Secretaria 2025 en Argentina;Congreso;Nacional;Otro;2025-09-04;2025-09-04;2025-09-04;2025;Desconocido;Desconocido;Desconocido;4 de septiembre, 2025;https://um.edu.ar/sedes/mendoza/;Otro;Anual;CONGRESOS Y CONVENCIONES;Mendoza;Universidad de Mendoza;Mendoza | Rio Cuarto | San Rafael;MENDOZA;Mendoza;Hotel Intercontinental Mendoza Guaymallen;90.0;No;Universidad de Mendoza;100.0;No
Fusiona Proyecta tu Espacio;Feria;Provincial;Arquitectura;2025-08-27;2025-08-28;;2025;agosto;28;NS/NC;28 de agosto;https://um.edu.ar/sedes/san-rafael/;Académico;Anual;FERIAS Y EXPOSICIONES;Mendoza;Universidad de Mendoza;Centro de Congresos y Exposiciones de San Rafael;MENDOZA;Universidad de Mendoza;Univesidad de Mendoza;98.0;No;Universidad de Mendoza;100.0;No
Día de la Secretaria 2025 en Argentina;Otro tipo de evento;Nacional;Otro;2025-09-04;2025-09-04;2025-09-04;2025;Desconocido;Desconocido;Desconocido;4 de septiembre, 2025;https://um.edu.ar/noticias/;Asociativo;Anual;FUERA DEL ALCANCE DEL OETR;Mendoza;Universidad de Mendoza;Argentina;MENDOZA;"Mendoza  
San Rafael 
Río Cuarto";NO_MATCH;86.0;Sí;Universidad de Mendoza;100.0;No
Vinilo Arizu;Feria;Local;Música;2025-08-28;2025-08-30;2025-08-30;2025;agosto;30;30;sabado 30 de agosto;https://www.mendovoz.com/eskpe/2025/8/28/feria-de-discos-musica-en-vivo-mucho-mas-en-el-espacio-arizu-160558.html;Cultural;Anual;FERIAS Y EXPOSICIONES;Mendoza;NO_MATCH; Espacio Arizu de Godoy Cruz;GODOY CRUZ;Espacio Arizu;Espacio Arizu;100.0;No;Espacio Arizu;86.0;Sí
ENTRADAS;Otro tipo de evento;NS/NC;Ns/Nc;2025-09-03;2025-09-06;2025-09-06;2025;septiembre;6;6;El sábado 6 de setiembre;https://www.mendoza.gov.ar/prensa/energia-y-ambiente/;;Anual;FUERA DEL ALCANCE DEL OETR;Mendoza;NO_MATCH; ;MENDOZA;No aparece ninguna sede o locación principal en el texto proporcionado.;NO_MATCH;86.0;Sí;Ministerio de Energía y Ambiente;86.0;Sí
;Evento Deportivo Nacional;Provincial;Deportes;2025-09-04;;;;;;;;https://www.elcucodigital.com/deportes/;;Anual;Evento Deportivo Nacional;Mendoza;NO_MATCH;;Desconocido;No se encuentra la información solicitada en el texto.;NO_MATCH;86.0;Sí;El Cuco Digital;86.0;Sí
Llega a SHELL LA CONSULTA la PROMO del Año!!! Podés ganarte un Jeep Renegade, cargando el mejor combustible o comprando en el Select;Otro tipo de evento;Local;Marketing y publicidad;2025-09-04;2025-09-01;2025-09-30;2025;Desconocido;Desconocido;Desconocido;Se encuentran ubicados en San Martín 315, M5567 La Consulta, Mendoza. Cargando el mejor combustible o comprando en las tiendas Shell Select, participas del sorteo de un Jeep Renegade. ;https://www.elcucodigital.com/category/valle-de-uco/?print=print-page;Marketing y publicidad;Anual;otro tipo de evento;Mendoza;NO_MATCH;San Martín 315, M5567 La Consulta, Mendoza.;Desconocido;"Neyu Mapu
Polideportivo
Auditorio Municipal Jorge Raúl Silvano
CIC del Algarrobo";NO_MATCH;86.0;Sí;El Cuco Digital;86.0;Sí
Consejo Profesional de Ciencias Económicas - Aniversario 52º;Encuentro;Provincial;Economía;2025-09-04;2025-08-28;2025-09-01;2025;Desconocido;Desconocido;Desconocido;martes 28 de agosto, martes 31 de agosto , friday;https://diariosanrafael.com.ar/el-consejo-profesional-de-ciencias-economicas-celebro-su-52-aniversario-con-un-encuentro-para-debatir-el-futuro/;Asociativo;Anual;CONGRESOS Y CONVENCIONES;Mendoza;Consejo Profesional de Ciencias Económicas;campus Manuel Belgrano, en calle Las Vírgenes;Desconocido;campus Manuel Belgrano;Campus Dr. Manuel Belgrano;95.0;No;Consejo Profesional de Ciencias Económicas;100.0;No
2° Reunión Plenaria Anual del CODFAUN 2025;Congreso;Nacional;Arquitectura;2025-09-01;2025-09-01;2025-09-03;2025;Desconocido;Desconocido;Desconocido;Durante tres jornadas;https://ingenieria.uncuyo.edu.ar/;Académico;Anual;CONGRESOS Y CONVENCIONES;Mendoza;NO_MATCH;Facultad de Ingeniería UNCUYO;Desconocido;Facultad de Ingeniería;Universidad Nacional de Cuyo (UNCUYO) - Facultad de Ingeniería;90.0;No;COMDCFAUN;60.0;Sí
Se viene el operativo “Plaza de Salud” en Colonia Las Rosas;Otro tipo de evento;Local;Salud;2025-08-28;2025-09-05;2025-09-05;2025;Desconocido;Desconocido;Desconocido;próximo martes, a las 14;https://www.tunuyan.gov.ar/site/se-viene-el-operativo-plaza-de-salud-en-colonia-las-rosas/;Gubernamental;Anual;FUERA DEL ALCANCE DEL OETR;Mendoza;Municipalidad de Tunuyán;plaza B° El Sol;Desconocido;plaza B° El Sol;NO_MATCH;86.0;Sí;Municipalidad de Tunuyan;98.0;No
Congreso Nacional de Matemática 2025;Congreso;Nacional;Matemática y estadística;2025-08-28;2025-10-21;2025-10-22;2025;Desconocido;Desconocido;Desconocido;21 y 22 de octubre del corriente año;https://www.mendoza.edu.ar/2025/08/28/;Académico;Anual;CONGRESOS Y CONVENCIONES;Mendoza;NO_MATCH;;MENDOZA;No se encuentra la información sobre la sede o locación principal en el texto.;NO_MATCH;86.0;Sí;Ministerio de Educación, Cultura, Infancias y DGE;86.0;Sí
Eventos en la Universidad de Mendoza;Congreso;Local;Multisectorial;2025-09-04;2025-09-24;2025-09-25;2025;septiembre;24;25;los días 24 y 25 de septiembre;https://um.edu.ar/sedes/mendoza/;Académico;Anual;CONGRESOS Y CONVENCIONES;Mendoza;Universidad de Mendoza;Sede Central de la Universidad de Mendoza;Desconocido;"Mendoza 
San Rafael
Río Cuarto";NO_MATCH;86.0;Sí;Universidad de Mendoza;100.0;No
Novedades Docentes y Directivos;Seminario;Nacional;Educación;2025-09-03;2025-05-09;2025-09-07;2025;septiembre;5;7;3 septiembre, 2025;https://www.mendoza.edu.ar/category/docentes/;Académico;Anual;CONGRESOS Y CONVENCIONES;Mendoza;NO_MATCH; ;MENDOZA;No se encuentra información sobre una sede o locación principal en el texto.;NO_MATCH;86.0;Sí;Ministerio de Educación, Cultura, Infancias y DGE;86.0;Sí
Fusiona 2025: La Facultad de Ingeniería te invita a vivir la ingeniería en acción;Exposición;Local;Ingeniería;2025-09-02;2025-09-28;2025-09-28;2025;Desconocido;Desconocido;Desconocido;2 de septiembre, 2025;https://um.edu.ar/sedes/san-rafael/;Académico;Anual;FERIAS Y EXPOSICIONES;Mendoza;Universidad de Mendoza;Centro de Congresos y Exposiciones de San Rafael;MENDOZA;Universidad de Mendoza;Univesidad de Mendoza;98.0;No;Universidad de Mendoza;100.0;No
El Cuco Digital;Otro tipo de evento;NS/NC;Deportes;2025-09-04;2025-08-24;2025-08-24;2025;Desconocido;Desconocido;Desconocido;si se disputará una;https://www.elcucodigital.com/deportes/;Otro;Anual;OUTER;Mendoza;NO_MATCH;Valle de Uco;EUGENIO BUSTOS;No se encuentra la información solicitada en el texto.;NO_MATCH;86.0;Sí;Diario El Cuco Digital;86.0;Sí
El intendente Ulpiano Suarez recorrió el Gimnasio Municipal Nº1 y entregó materiales deportivos;Otro tipo de evento;Local;Deporte y ocio;2025-09-04;2025-09-04;2025-09-04;2025;septiembre;;;martes;https://diariosanrafael.com.ar/el-intendente-ulpiano-suarez-recorrio-el-gimnasio-municipal-no1-y-entrego-materiales-deportivos/;;Anual;FUERA DEL ALCANCE DEL OETR;Mendoza;Municipalidad de Godoy Cruz;Gymnasio Municipal Nº1;Desconocido;Gimnasio Municipal Nº1;Gimnasio Municipal Nº 3;93.0;No;Municipalidad;90.0;No
2° Reunión Plenaria Anual del CODFAUN;Congreso;Nacional;Multisectorial;2025-09-01;2025-10-01;2025-10-03;2025;octubre;1;3;Durante tres jornadas;https://ingenieria.uncuyo.edu.ar/;Académico;Anual;CONGRESOS Y CONVENCIONES;Mendoza;NO_MATCH;Facultad de Ingeniería UNCUYO;Desconocido;Facultad de Ingeniería de la UNCUYO;NO_MATCH;86.0;Sí;CODFAUN;64.0;Sí
Prensa Gobierno de Mendoza;Otro tipo de evento;Nacional;Otro;2025-09-06;2025-09-06;2025-09-06;2025;Desconocido;Desconocido;Desconocido;El sábado 6 de setiembre;https://www.mendoza.gov.ar/prensa/energia-y-ambiente/;Gubernamental;Anual;FUERA DEL ALCANCE DEL OETR;Mendoza;Gobierno de Mendoza;MENDOZA GOBIERNO Av. Peltier 351 - Ciudad, Mendoza;Desconocido;Casa de Mendoza;NO_MATCH;86.0;Sí;Gobierno de Mendoza;100.0;No
Congreso Nacional de Matemática 2025;Congreso;Nacional;Matemática y estadística;2025-08-28;2025-10-21;2025-10-22;2025;Desconocido;Desconocido;Desconocido;durante el 21 y 22 de octubre del corriente año;https://www.mendoza.edu.ar/2025/08/28/;Académico;Anual;CONGRESOS Y CONVENCIONES;Mendoza;NO_MATCH;;Desconocido;No se menciona una sede o ubicación específicos.;NO_MATCH;86.0;Sí;Ministerio de Educación, Cultura, Infancias y DGE;86.0;Sí
